abs_td_error,agree,bfs_action,bfs_distance,difficulty,goal,greedy_action,maze_id,next,next_bfs_distance,path_index,pos,q_best_other,q_bfs,q_down,q_left,q_margin,q_right,q_up,shortest_len,source,start,td_error
0.9064821624755908,False,UP,17,hard,"(7, 7)",DOWN,random_hard_16,"(4, 0)",16,1,"(5, 0)",46.49226760864258,44.840087890625,46.49226760864258,35.77571105957031,-1.6521797180175781,45.27436828613281,44.840087890625,18,random,"(5, 1)",0.9064821624755908
1.591832160949707,False,UP,16,hard,"(7, 7)",DOWN,random_hard_16,"(3, 0)",15,2,"(4, 0)",46.21875762939453,45.8770751953125,46.21875762939453,35.370445251464844,-0.34168243408203125,34.844093322753906,45.8770751953125,18,random,"(5, 1)",1.591832160949707
0.2985471343994135,True,UP,15,hard,"(7, 7)",UP,random_hard_16,"(2, 0)",14,3,"(3, 0)",45.677284240722656,47.958492279052734,45.677284240722656,35.81682586669922,2.281208038330078,44.8046989440918,47.958492279052734,18,random,"(5, 1)",0.2985471343994135
1.068764190673825,True,UP,14,hard,"(7, 7)",UP,random_hard_16,"(1, 0)",13,4,"(2, 0)",46.0820426940918,48.75458526611328,46.0820426940918,36.88763427734375,2.6725425720214844,38.11391067504883,48.75458526611328,18,random,"(5, 1)",-1.068764190673825
0.7252989578247053,True,RIGHT,13,hard,"(7, 7)",RIGHT,random_hard_16,"(1, 1)",12,5,"(1, 0)",46.862545013427734,48.17759704589844,46.862545013427734,35.98992919921875,1.3150520324707031,48.17759704589844,45.252281188964844,18,random,"(5, 1)",-0.7252989578247053
0.014644355773924644,True,RIGHT,12,hard,"(7, 7)",RIGHT,random_hard_16,"(1, 2)",11,6,"(1, 1)",47.09630584716797,47.941715240478516,37.700225830078125,47.09630584716797,0.8454093933105469,47.941715240478516,46.207374572753906,18,random,"(5, 1)",-0.014644355773924644
0.8761504745483393,True,RIGHT,11,hard,"(7, 7)",RIGHT,random_hard_16,"(1, 3)",10,7,"(1, 2)",46.7191162109375,48.42128372192383,45.98027420043945,46.7191162109375,1.7021675109863281,48.42128372192383,46.646636962890625,18,random,"(5, 1)",-0.8761504745483393
0.8987067031860363,False,RIGHT,10,hard,"(7, 7)",LEFT,random_hard_16,"(1, 4)",9,8,"(1, 3)",48.03548812866211,47.24326705932617,38.787532806396484,48.03548812866211,-0.7922210693359375,47.24326705932617,45.21253967285156,18,random,"(5, 1)",-0.8987067031860363
0.5528307723999006,True,DOWN,9,hard,"(7, 7)",DOWN,random_hard_16,"(2, 4)",8,9,"(1, 4)",46.81558609008789,46.82278823852539,46.82278823852539,46.81558609008789,0.0072021484375,46.39527130126953,37.31346130371094,18,random,"(5, 1)",0.5528307723999006
1.0275031661987342,False,DOWN,8,hard,"(7, 7)",RIGHT,random_hard_16,"(3, 4)",7,10,"(2, 4)",47.864261627197266,47.383827209472656,47.383827209472656,39.790016174316406,-0.4804344177246094,47.864261627197266,45.538970947265625,18,random,"(5, 1)",1.0275031661987342
2.131209983825684,False,DOWN,7,hard,"(7, 7)",RIGHT,random_hard_16,"(4, 4)",6,11,"(3, 4)",48.91043472290039,47.89091110229492,47.89091110229492,44.624595642089844,-1.0195236206054688,48.91043472290039,45.22056198120117,18,random,"(5, 1)",-2.131209983825684
