idx,source,outcome,steps,bfs_len,gap,final_bfs_dist,wall_hits,score_sum,score_avg,score_bfsnorm,badness,repeat_count,quality_key
16,recovery_success,success,16,14,2,0,0,-2.0129454731941223,-0.12580909207463264,-0.14378181951386587,0.02,0,"[2, 0, 0, -400, 0, -4]"
17,wall_recovery_success,success,14,14,0,0,0,-0.0003628730773925781,-2.5919505528041293e-05,-2.5919505528041293e-05,0.0,0,"[2, 0, 0, 0, 0, 0]"
18,near_clean_timeout,timeout,64,14,64,10,0,-38.46531534194946,-0.6010205522179604,-2.7475225244249617,1.3962053571428572,10,"[1, 0, -1, -7143, 0, -405]"
19,far_clean_timeout,timeout,64,14,64,14,0,-59.87761878967285,-0.9355877935886383,-4.276972770690918,2.25390625,193,"[1, 0, -2, -10000, 0, -7540]"
20,safe_loop_timeout,timeout,64,14,64,14,0,-64.0,-1.0,-4.571428571428571,2.33984375,215,"[1, 0, -2, -10000, 0, -8412]"
21,far_clean_timeout,timeout,64,14,64,14,0,-60.00001794099808,-0.937500280328095,-4.285715567214148,2.25390625,193,"[1, 0, -2, -10000, 0, -7540]"
22,wall_timeout,timeout,64,14,64,10,4,-64.0,-1.0,-4.571428571428571,2.532924107142857,29,"[1, -1, -1, -7143, -625, -1142]"
23,sticky_wall_timeout,timeout,64,14,64,14,64,-64.0,-1.0,-4.571428571428571,4.4296875,238,"[1, -1, -2, -10000, -10000, -9284]"
24,bfs_success,success,18,18,0,0,0,-4.006500601768494,-0.2225833667649163,-0.2225833667649163,0.0,0,"[2, 0, 0, 0, 0, 0]"
25,clean_success,success,18,18,0,0,0,-4.006500601768494,-0.2225833667649163,-0.2225833667649163,0.0,0,"[2, 0, 0, 0, 0, 0]"
26,short_detour_success,success,20,18,2,0,0,-6.279222846031189,-0.31396114230155947,-0.3488457136683994,0.021739130434782608,0,"[2, 0, 0, -435, 0, -8]"
27,long_detour_success,success,24,18,6,0,0,-10.057779848575592,-0.4190741603573163,-0.5587655471430885,0.06912364130434782,1,"[2, 0, 0, -1304, 0, -35]"
28,recovery_success,success,20,18,2,0,0,-4.212004065513611,-0.21060020327568055,-0.23400022586186728,0.021739130434782608,0,"[2, 0, 0, -435, 0, -8]"
29,wall_recovery_success,success,21,18,3,0,3,-17.00028747320175,-0.8095374987238929,-0.944460415177875,1.0833899456521738,1,"[2, -1, 0, -652, -469, -33]"
30,near_clean_timeout,timeout,64,18,64,4,0,-50.74411576986313,-0.7928768089041114,-2.819117542770174,1.4236111111111112,80,"[1, 0, -2, -2222, 0, -3128]"
31,far_clean_timeout,timeout,64,18,64,20,0,-61.03896714374423,-0.9537338616210036,-3.3910537302080126,2.3797743055555554,211,"[1, 0, -2, -11111, 0, -8256]"
32,safe_loop_timeout,timeout,64,18,64,18,0,-64.0,-1.0,-3.5555555555555554,2.33984375,215,"[1, 0, -2, -10000, 0, -8412]"
33,far_clean_timeout,timeout,64,18,64,20,0,-61.03896714374423,-0.9537338616210036,-3.3910537302080126,2.3797743055555554,211,"[1, 0, -2, -11111, 0, -8256]"
34,wall_timeout,timeout,64,18,64,16,2,-62.16278237104416,-0.971293474547565,-3.4534879095024533,2.9092881944444446,111,"[1, -1, -2, -8889, -312, -4335]"
35,sticky_wall_timeout,timeout,64,18,64,10,56,-60.0002875328064,-0.9375044927001,-3.3333493073781333,3.9574652777777777,206,"[1, -1, -2, -5556, -8750, -8034]"
36,bfs_success,success,14,14,0,0,0,-0.08494514226913452,-0.006067510162081037,-0.006067510162081037,0.0,0,"[2, 0, 0, 0, 0, 0]"
37,clean_success,success,14,14,0,0,0,-0.08494514226913452,-0.006067510162081037,-0.006067510162081037,0.0,0,"[2, 0, 0, 0, 0, 0]"
38,short_detour_success,success,16,14,2,0,0,-9.457011580467224,-0.5910632237792015,-0.6755008271762303,0.02,0,"[2, 0, 0, -400, 0, -8]"
39,long_detour_success,success,20,14,6,0,0,-15.566592171788216,-0.7783296085894108,-1.1118994408420153,0.06390625,1,"[2, 0, 0, -1200, 0, -35]"
40,recovery_success,success,16,14,2,0,0,-3.961394876241684,-0.24758717976510525,-0.282956776874406,0.02,0,"[2, 0, 0, -400, 0, -8]"
41,wall_recovery_success,success,17,14,3,0,3,-17.0,-1.0,-1.2142857142857142,1.08078125,1,"[2, -1, 0, -600, -469, -33]"
42,near_clean_timeout,timeout,64,14,64,8,0,-52.8370378613472,-0.82557871658355,-3.774074132953371,1.3599330357142856,19,"[1, 0, -1, -5714, 0, -743]"
43,far_clean_timeout,timeout,64,14,64,14,0,-62.12313187122345,-0.9706739354878664,-4.437366562230246,2.25390625,193,"[1, 0, -2, -10000, 0, -7540]"
44,safe_loop_timeout,timeout,64,14,64,14,0,-64.0,-1.0,-4.571428571428571,2.33984375,215,"[1, 0, -2, -10000, 0, -8412]"
45,far_clean_timeout,timeout,64,14,64,14,0,-63.99912112951279,-0.9999862676486373,-4.571365794965199,2.25390625,193,"[1, 0, -2, -10000, 0, -7540]"
46,wall_timeout,timeout,64,14,64,6,4,-63.48457807302475,-0.9919465323910117,-4.534612719501768,2.3158482142857144,10,"[1, -1, -1, -4286, -625, -403]"
47,sticky_wall_timeout,timeout,64,14,64,8,58,-64.0,-1.0,-4.571428571428571,4.027901785714286,214,"[1, -1, -2, -5714, -9062, -8347]"
48,bfs_success,success,14,14,0,0,0,-0.0130881667137146,-0.0009348690509796143,-0.0009348690509796143,0.0,0,"[2, 0, 0, 0, 0, 0]"
49,clean_success,success,14,14,0,0,0,-0.0130881667137146,-0.0009348690509796143,-0.0009348690509796143,0.0,0,"[2, 0, 0, 0, 0, 0]"
50,short_detour_success,success,16,14,2,0,0,-5.132515575736761,-0.32078222348354757,-0.36660825540976866,0.02,0,"[2, 0, 0, -400, 0, -8]"
51,long_detour_success,success,20,14,6,0,0,-19.081550419330597,-0.9540775209665299,-1.3629678870950426,0.0678125,2,"[2, 0, 0, -1200, 0, -66]"
52,recovery_success,success,16,14,2,0,0,-2.063402235507965,-0.12896263971924782,-0.14738587396485464,0.02,0,"[2, 0, 0, -400, 0, -8]"
53,wall_recovery_success,success,15,14,1,0,1,-14.999874830245972,-0.9999916553497314,-1.071419630731855,1.025625,0,"[2, -1, 0, -200, -156, -4]"
54,near_clean_timeout,timeout,64,14,64,4,0,-40.29413741454482,-0.6295958971022628,-2.878152672467487,1.2287946428571428,22,"[1, 0, -1, -2857, 0, -851]"
55,far_clean_timeout,timeout,64,14,64,14,0,-60.35041344165802,-0.9429752100259066,-4.3107438172612875,2.25390625,193,"[1, 0, -2, -10000, 0, -7540]"
